Sale ID,Customer ID,Product ID,Quantity,Total Price,Sale Date
SALE0001,CUST0006,PROD0005,5,1490,2025-03-25 00:00:00
SALE0002,CUST0006,PROD0015,4,3529.6,2025-07-27 00:00:00
SALE0003,CUST0005,PROD0020,3,4754.94,2025-07-01 00:00:00
SALE0004,CUST0016,PROD0020,4,6339.92,2025-04-08 00:00:00
SALE0005,CUST0004,PROD0014,5,7489.4,2025-03-12 00:00:00
SALE0006,CUST0019,PROD0016,2,3995.7,2025-04-02 00:00:00
SALE0007,CUST0009,PROD0003,2,3318.62,2025-07-20 00:00:00
SALE0008,CUST0002,PROD0008,1,1427.31,2025-02-27 00:00:00
SALE0009,CUST0005,PROD0007,4,1701.36,2025-03-11 00:00:00
SALE0010,CUST0014,PROD0010,4,2733.52,2025-07-10 00:00:00
SALE0011,CUST0017,PROD0006,1,1941.97,2025-05-02 00:00:00
SALE0012,CUST0017,PROD0016,1,1997.85,2025-05-12 00:00:00
SALE0013,CUST0006,PROD0001,4,5485.8,2025-01-07 00:00:00
SALE0014,CUST0016,PROD0010,5,3416.9,2025-01-09 00:00:00
SALE0015,CUST0012,PROD0010,2,1366.76,2025-04-17 00:00:00
SALE0016,CUST0017,PROD0004,4,3939.2,2025-07-16 00:00:00
SALE0017,CUST0008,PROD0006,2,3883.94,2025-04-16 00:00:00
SALE0018,CUST0003,PROD0014,3,4493.64,2025-06-22 00:00:00
SALE0019,CUST0017,PROD0008,2,2854.62,2025-02-10 00:00:00
SALE0020,CUST0008,PROD0018,5,4978.65,2025-02-22 00:00:00
SALE0021,CUST0009,PROD0010,5,3416.9,2025-04-25 00:00:00
SALE0022,CUST0014,PROD0016,2,3995.7,2025-07-07 00:00:00
SALE0023,CUST0013,PROD0007,5,2126.7,2025-06-28 00:00:00
SALE0024,CUST0004,PROD0012,3,5028.3,2025-01-13 00:00:00
SALE0025,CUST0006,PROD0006,4,7767.88,2025-07-28 00:00:00
SALE0026,CUST0019,PROD0019,5,3647.1,2025-03-01 00:00:00
SALE0027,CUST0017,PROD0011,1,396.11,2025-06-21 00:00:00
SALE0028,CUST0003,PROD0018,4,3982.92,2025-08-12 00:00:00
SALE0029,CUST0003,PROD0007,1,425.34,2025-03-15 00:00:00
SALE0030,CUST0014,PROD0011,2,792.22,2025-05-22 00:00:00
